class_ratio,repeat_id,fold_id,tau,n_groups,agreement_spearman_raw,agreement_spearman_group,topk_overlap_raw,topk_overlap_group
0.3,1,1,0.5,17,0.8887218045112781,0.9215686274509804,0.8,0.8
0.3,1,2,0.5,17,0.8240601503759398,0.9044117647058825,0.6,0.8
0.3,1,3,0.5,17,0.8390977443609022,0.8848039215686275,0.8,0.8
0.3,1,4,0.5,17,0.7684210526315788,0.8897058823529412,0.4,0.6
0.3,2,0,0.5,17,0.7729323308270677,0.8431372549019609,0.6,0.6
0.3,2,1,0.5,17,0.8962406015037594,0.931372549019608,0.6,0.8
0.3,2,2,0.5,17,0.5804511278195488,0.6299019607843138,0.6,0.4
0.3,2,3,0.5,17,0.9157894736842105,0.911764705882353,0.8,0.8
0.3,2,4,0.5,17,0.7744360902255639,0.8823529411764707,0.6,0.8
0.3,3,0,0.5,17,0.7097744360902255,0.8014705882352942,0.6,0.8
0.3,3,1,0.5,17,0.8225563909774435,0.8848039215686275,0.8,0.8
0.3,3,2,0.5,17,0.7218045112781954,0.752450980392157,0.6,0.8
0.3,3,3,0.5,17,0.7187969924812029,0.8284313725490197,0.4,0.6
0.3,3,4,0.5,17,0.7593984962406014,0.8308823529411766,0.8,0.6
0.3,4,0,0.5,17,0.7443609022556391,0.8284313725490197,0.6,0.6
0.3,4,1,0.5,17,0.6195488721804511,0.7598039215686275,0.4,0.6
0.3,4,2,0.5,17,0.7609022556390977,0.7818627450980392,0.6,0.6
0.3,4,3,0.5,17,0.7533834586466165,0.8186274509803922,0.4,0.8
0.3,4,4,0.5,17,0.7984962406015037,0.8284313725490197,0.8,0.6
0.5,0,0,0.5,17,0.6631578947368421,0.786764705882353,0.6,0.8
0.5,0,1,0.5,17,0.8541353383458646,0.8553921568627452,0.6,0.6
0.5,0,2,0.5,17,0.837593984962406,0.8553921568627452,0.8,0.6
0.5,0,3,0.5,17,0.900751879699248,0.931372549019608,0.8,1.0
0.5,0,4,0.5,17,0.7639097744360903,0.7671568627450981,0.8,0.8
0.5,1,0,0.5,17,0.7383458646616541,0.786764705882353,0.4,0.8
0.5,1,1,0.5,17,0.8436090225563909,0.8088235294117647,0.8,0.8
0.5,1,2,0.5,17,0.837593984962406,0.8039215686274511,0.6,0.6
0.5,1,3,0.5,17,0.5849624060150376,0.6004901960784315,0.4,0.4
0.5,1,4,0.5,17,0.675187969924812,0.8480392156862745,0.6,0.8
0.5,2,0,0.5,17,0.7984962406015037,0.8921568627450982,0.6,0.8
0.5,2,1,0.5,17,0.863157894736842,0.8725490196078433,0.8,0.6
0.5,2,2,0.5,17,0.5834586466165413,0.6348039215686275,0.4,0.4
0.5,2,3,0.5,17,0.9037593984962405,0.9436274509803922,0.8,0.8
0.5,2,4,0.5,17,0.8466165413533834,0.8970588235294119,0.6,0.8
0.5,3,0,0.5,17,0.8285714285714285,0.8897058823529412,0.8,0.8
0.5,3,1,0.5,17,0.8571428571428572,0.9411764705882353,0.6,0.8
0.5,3,2,0.5,17,0.6466165413533834,0.7230392156862746,0.4,0.6
0.5,3,3,0.5,17,0.8451127819548873,0.8970588235294119,0.6,0.8
